	seq_start	importance	length	group_number	is_leader	leader_strength	proximity_label	seq_end	child_sequence_ix	proximity_label_min_start	proximity_label_best_start	proximity_label_best_imp	proximity_label_best_length	parent_seqs
140	340422	1.7715377817626971e-07	2.0	7.0	1.0	0.2122363022913989	105	341111	[340618, 340492, 340365, 340880, 340754, 340507, 340390, 340530, 340662, 340926, 340800, 340421, 340555, 340571, 340445, 340574, 340577, 340706, 340341, 340349]	339102	339864	0.8857940928343835	10.0	[339178, 339446, 339102, 340214, 338570, 340216, 338582, 338596, 340056, 338516, 339464, 340349, 340421, 340492, 340421, 340319, 339864, 340214, 340421, 338747, 338487, 339603, 340152, 340152, 340152, 340152, 340152, 340065, 339892, 339673, 340313, 340313, 339207, 338331, 339559, 340309, 339911, 340088, 340341, 339524, 338314, 340507, 338460, 338012, 340390, 339524, 340365, 339576, 340059, 339728, 339723, 340258, 339414, 340445, 339991, 338309, 339672, 337371, 339217]
520	178780	0.0	2.5	26.0	1.0	0.21363174039281518	62	179641	[179586, 179077, 179465, 179214, 179360, 178860, 178740, 178868, 179640, 178765, 178900, 178905, 178782, 178911, 178785, 179058, 179186, 179188, 179064]	177715	177904	1.303215580961394	10.0	[178765, 178281, 178610, 178417, 178782, 178740, 178577, 178162, 178388, 178509, 178616, 178001, 178309, 178366, 178003, 178176, 178605, 177842, 177796, 177837, 178860, 178520, 177981, 178644, 178613, 177910, 177910, 178237, 177981, 178034, 178079, 178785, 177910, 178226, 177842, 177910, 177910, 177936, 177764, 177865, 178455, 178435, 177910, 178228, 177904, 178045, 178013, 177910, 178015, 178506, 178388, 177781, 178309, 178488, 177942, 178041, 177715, 177715, 177715, 177715, 177715, 177715, 177715, 177715, 178457, 177764, 177759]
3220	377104	0.0	6.0	161.0	1.0	0.2157311499681764	95	379171	[377602, 377859, 377861, 377989, 377990, 377224, 377225, 377991, 378006, 377112, 377370, 378011, 378396, 377629, 377250, 378025, 378290, 377907, 378297, 377018, 377796, 378058, 377291, 377675, 377165, 377294, 378447, 377296, 378581, 377558, 378205, 378078, 378973, 377696, 378851, 378084, 379110, 377960, 377193, 377323, 377965, 378605, 378224, 377086]	376596	377112	1.3219042983885618	9.0	[376819, 377086, 376743, 376211, 376223, 376237, 376167, 376285, 376696, 376963, 376167, 376167, 376258, 376664, 376383, 376777, 376122, 376167, 376596, 376167, 376970, 376614, 377112, 376998, 376038, 377000, 376021, 376876, 375972, 375972, 375972, 375972, 376176, 376167, 377165, 374609, 374899, 374354, 376305, 377165, 377010, 374951, 375972, 375972, 375972, 375972, 375972, 375972, 375972, 375972, 375197, 377018, 375976, 376878]
1620	267673	1.2526663786125774e-07	4.0	81.0	1.0	0.2173728670570418	86	269051	[268038, 267783, 268168, 268305, 267796, 268320, 268028, 267825, 267832, 267705, 267962, 268354, 268228, 267976, 268363, 268240, 267605, 267738, 268122, 267871, 268002, 268643, 267876, 268522, 267755, 267884, 267631, 267759, 267641, 267644]	267395	267962	2.1773569775227393	8.0	[267576, 265831, 266885, 266678, 267572, 267571, 267705, 267759, 267738, 267534, 267534, 267605, 267534, 267466, 267755, 267631, 267461, 267641, 267420, 267395, 267466, 267534, 267553, 267534, 267489, 267644, 267529, 267641]
4000	339178	0.0	7.0	200.0	1.0	0.22095940236154007	105	341589	[339207, 339464, 340618, 339723, 340492, 340365, 339728, 339217, 340754, 339603, 340880, 339991, 339864, 340507, 341276, 339102, 341408, 340258, 340390, 340530, 339892, 340662, 340152, 340926, 340800, 341440, 339524, 340421, 340422, 339911, 340555, 341200, 340309, 339414, 339672, 339673, 340056, 340059, 340088, 340313, 340445, 340319, 340216, 340065, 340571, 340574, 340577, 340706, 339559, 341230, 340341, 339446, 340214, 339576, 339324, 340349]	339102	339864	0.8857940928343835	10.0	[339102, 338570, 338582, 338596, 338516, 338622, 338535, 338920, 338493, 338506, 338460, 338555, 338502, 338747, 338415, 338487, 338831, 338911, 338460, 339207, 338331, 337029, 337319, 338314, 337371, 338509, 338460, 338012, 338507, 337523, 336974, 337131, 336757, 337303, 338309, 337371, 339217]
900	374528	0.0	3.0	45.0	1.0	0.22142577183917875	107	375561	[374564, 374566, 374951, 374888, 374571, 374637, 374609, 374610, 374899, 374711, 374716, 375197, 374751]	373954	374354	1.771718354739455	10.0	[374571, 374022, 374389, 374309, 374571, 374566, 374566, 374399, 374399, 374399, 374399, 374399, 374399, 374343, 374035, 374022, 374201, 374244, 372850, 374182, 374022, 374022, 372904, 373197, 372818, 373260, 374609, 372881, 372850, 374354, 374610, 374564, 372933, 373954, 372496]
3600	339446	0.0	6.5	180.0	1.0	0.22560155635967333	105	341685	[339464, 340618, 339723, 340492, 340365, 339728, 340880, 340754, 339603, 339991, 339864, 340507, 341276, 341408, 340258, 340390, 340530, 339892, 340662, 340152, 340926, 340800, 341440, 339524, 340421, 340422, 339911, 340555, 341200, 340309, 339414, 339672, 339673, 340056, 340059, 340088, 340313, 340445, 340319, 340216, 340065, 340571, 340574, 340577, 340706, 339559, 341612, 341230, 340341, 340214, 339576, 340349]	339102	339864	0.8857940928343835	10.0	[339178, 339102, 338570, 338582, 338596, 338516, 339464, 338622, 338535, 338920, 339324, 338493, 338506, 338460, 338555, 338502, 338747, 338415, 338487, 338831, 338911, 338460, 339207, 338331, 337029, 337319, 339524, 338314, 337371, 338509, 338460, 338012, 338507, 337523, 339524, 336757, 339414, 338309, 337371, 339217]
540	171847	1.4172302254101575e-07	2.5	27.0	1.0	0.2299189261281391	59	172708	[172104, 172009, 171853, 171856, 172529, 172370, 171857, 172277, 171925, 171768, 171865, 172090]	169749	170039	1.0041861453954104	10.0	[171865, 170953, 171109, 171038, 170956, 170949, 170916, 171925, 170858, 171249, 170174, 170212, 170274, 171297, 171385, 171718, 169351, 169811, 171481, 171306, 170039, 169340, 171617, 169449, 169536, 171768, 170081, 170928, 171360, 171532, 170950, 169975, 170293, 170750, 171349, 170316, 170813, 171853, 170759, 170460, 170197, 171447, 171447, 171447, 171447, 171447, 170311, 170976, 171505, 171354, 170482, 171614, 171614, 170731, 169749, 171176, 171167, 170671, 170645, 170624, 169927, 171465, 171857, 171010, 170625, 170899, 171856, 171243, 171406, 171040, 171357, 170908, 171076, 169992, 171465, 171080, 171206, 171206, 171206, 171206, 171206, 171206, 171206, 171206, 171206, 171265, 171265, 171265, 171265, 171265, 171265, 171265, 171265, 171265, 170973, 169513, 170464]
160	193676	0.0	2.0	8.0	1.0	0.23014996978049873	119	194365	[193920, 194309, 194321, 193938, 194066, 194223, 194240, 193985, 194251, 193616, 194129, 193746, 193748, 194004, 193622, 194139, 193756, 194140, 194142, 193631, 194145, 193763, 194024, 194028, 194289, 194038, 193783, 193791]	193302	194223	1.4617139489965583	10.0	[193622, 193573, 193569, 192257, 192110, 193458, 192225, 192379, 192170, 193746, 192110, 193578, 193748, 193524, 193756, 193532, 193388, 193569, 193432, 192413, 193569, 193616, 193302, 193569, 193438, 193452, 193569, 192228, 192932, 193315, 192995, 192834, 193003, 191517, 192221, 193433, 191895, 193631, 193435, 190775, 191884, 190822, 190894, 190804, 190763, 190826, 193398, 191190, 190751, 190950, 190998, 192036, 191844, 190671]
4400	339102	0.0	7.5	220.0	1.0	0.23097943088794098	105	341685	[339207, 339464, 340618, 339723, 340492, 340365, 339728, 339217, 340754, 339603, 340880, 339991, 339864, 340507, 341276, 341408, 340258, 340390, 340530, 339892, 340662, 340152, 340926, 340800, 341440, 339524, 340421, 340422, 339911, 340555, 341200, 340309, 339414, 339672, 339673, 340056, 340059, 340088, 340313, 340445, 340319, 340216, 340065, 340571, 340574, 340577, 340706, 339559, 339178, 341612, 341230, 340341, 339446, 340214, 339576, 339324, 340349]	339102	339864	0.8857940928343835	10.0	[339178, 338570, 338582, 338596, 338516, 336753, 338622, 338535, 338920, 338493, 338506, 338460, 338555, 338502, 338747, 338415, 338487, 338831, 338911, 338460, 338331, 337029, 337319, 338314, 337371, 338509, 338460, 338012, 338507, 337523, 336974, 337131, 336757, 337303, 338309, 337371]
180	152211	0.0	2.0	9.0	1.0	0.23138699073891933	122	152900	[152168]	152042	152168	0.0	5.0	[152168, 151443, 152042, 151699, 151475, 151655, 151456, 151383, 151315, 151381, 151473, 151664, 151356, 151818, 151458, 151670, 151642, 151393, 151315, 151269, 151657, 151514, 151498, 151460, 151381, 151854, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122, 151122]
200	312089	0.0	2.0	10.0	1.0	0.23140336476444978	126	312778	[312452, 312709, 312583, 312206, 312079, 312337, 312348, 312350, 312234, 312490, 312236, 312494, 312259, 312132, 312006, 312008, 312266, 312650, 312282, 312156, 312414, 312163, 312303, 312561, 312051, 312693]	311675	312348	1.0900786115957795	10.0	[312079, 309709, 312008, 310087, 310985, 311675, 309837, 310107, 310428, 310258, 310499, 311885, 310713, 310656, 310714, 311347, 310382, 309282, 310243, 309478, 310541, 311708, 309550, 311270, 312006, 312051, 311983, 312132, 311768, 308781, 312156, 312156, 312156, 312156, 312156, 312156, 312156, 312156, 312156, 312156, 312163, 312163, 312163, 312163, 312163, 312163, 312163, 312163, 312163]
2420	267576	1.0021331028900617e-07	5.0	121.0	1.0	0.23332460510541772	86	269298	[268038, 267783, 268168, 267529, 267534, 268305, 267796, 267673, 268320, 267553, 268028, 267825, 267571, 267572, 267832, 267705, 267962, 268354, 268228, 267976, 268363, 268240, 267605, 267738, 268122, 267871, 268002, 268643, 267876, 268522, 267755, 267884, 267631, 267759, 267641, 267644]	267395	267962	2.1773569775227393	8.0	[265831, 266885, 266678, 267572, 267571, 267534, 267534, 267605, 267534, 267466, 267631, 267461, 267641, 267420, 267395, 267466, 267534, 267553, 267534, 267489, 267644, 267529, 267641]
